Year,MCV1_coverage_pct,Pol3_coverage_pct,U5MR_per1000,Measles_cases
2000,45.0,88.0,100.121199909125,23068.0
2001,39.0,81.0,96.013985237875,13476.0
2002,39.0,80.0,92.097342546,12289.0
2003,40.0,80.0,88.461093664625,1939.0
2004,41.5,81.0,85.161619928875,60.0
2005,41.5,85.0,82.168415799375,435.0
2006,42.5,84.0,79.25476290575,420.0
2007,47.5,94.0,76.24519365649999,6.0
2008,43.0,92.0,73.099752470875,82.0
2009,46.5,94.0,69.8363182725,101.0
2010,46.5,94.0,66.49733832125,641.0
2011,45.5,91.0,63.241820894625,120.0
2012,70.5,91.0,60.188084227625,1613.0
2013,71.5,91.0,57.360628984875,319.0
2014,79.5,94.0,54.8096576725,124.0
2015,76.0,88.0,52.46309352,23.0
2016,82.0,95.0,50.197245643,32.0
2017,89.0,94.0,48.053635465125,19.0
2018,87.5,98.0,45.957141746125004,34.0
2019,87.5,97.0,43.900057736375,1274.0
2020,83.5,92.0,41.966788390875,88.0
2021,88.5,98.0,40.17788662575,52.0
2022,89.5,90.0,38.52225843375,395.0
2023,84.5,91.0,37.03744034275,2282.0
2024,84.5,91.0,,1944.0
1990,,,127.44155478862501,32246.0
1991,,,123.27091526012501,17135.0
1992,,,120.043721394125,39933.0
1993,,,117.696517945625,34641.0
1994,,,115.960778565125,34821.0
1995,,,114.4464439235,40276.0
1996,,,112.809561321125,34273.0
1997,,,110.539919306,37261.0
1998,,,107.6181595985,23335.0
1999,,,104.099250698125,15987.0
1974,,,,91315.0
1975,,,,140821.0
1976,,,,131405.0
1977,,,,108440.0
1978,,,,107381.0
1979,,,,88808.0
1980,,,,82684.0
1981,,,,38476.0
1982,,,,79636.0
1983,,,,36561.0
1984,,,,40179.0
1985,,,,64517.0
1986,,,,11099.0
1987,,,,24781.0
1988,,,,40456.0
1989,,,,19997.0
