Characteristic,Overall (n=261),Northern belt (n=55),Southern belt (n=206)
"Total population, median","100,851","91,279","105,802"
"Poverty incidence, % mean (SD)",27.6 (13.4),44.3 (11.8),23.1 (9.9)
"Population uninsured, % mean (SD)",30.9 (13.5),26.3 (16.0),32.2 (12.5)
"Illiterate, % mean (SD)",29.0 (14.7),49.0 (8.9),23.6 (10.9)
"Full immunisation coverage, % mean (SD)",75.2 (7.9),67.5 (8.2),77.2 (6.5)
"Zero-dose (no vaccination), % mean (SD)",1.7 (2.5),3.8 (3.4),1.1 (1.8)
"DPT3 coverage, % mean (SD)",89.2 (4.9),84.6 (5.8),90.4 (3.7)
"DPT1-DPT3 dropout, points mean (SD)",8.2 (3.2),10.2 (3.8),7.7 (2.8)
"Under-5 mortality, /1000 mean (SD)",43.1 (10.9),49.4 (6.7),41.5 (11.2)
"Facility delivery, % mean (SD)",87.2 (7.7),83.7 (12.3),88.2 (5.5)
"Women, no education, % mean (SD)",16.7 (14.9),41.5 (12.0),10.1 (5.9)
"IDRI (0-1), mean (SD)",0.39 (0.21),0.69 (0.17),0.31 (0.14)
"High-risk district (<80% fully vax), n (%)",180 (69%),55 (100%),125 (61%)
